seq,t,dt,work,missed,,,
697,11718548,5000,9,0,,,
698,11723552,5004,9,0,,,
699,11728547,4995,8,0,,,
700,11733553,5006,9,0,,,
701,11738553,5000,8,0,,,
702,11743546,4993,8,0,,,
703,11748548,5002,8,0,,,
704,11753547,4999,9,0,,,
705,11758546,4999,9,0,,,
706,11763547,5001,8,0,,,
707,11768551,5004,9,0,,,
708,11773547,4996,8,0,,,
709,11778550,5003,9,0,,,
710,11783546,4996,9,0,,,
711,11788550,5004,9,0,,,
712,11793553,5003,9,0,,,
713,11798547,4994,9,0,,,
714,11803552,5005,9,0,,,
715,11808548,4996,8,0,,,
716,11813547,4999,9,0,,,
717,11818551,5004,9,0,,,
718,11823550,4999,9,0,,,
719,11828548,4998,9,0,,,
720,11833546,4998,9,0,,,
721,11838547,5001,8,0,,,
722,11843549,5002,9,0,,,
723,11848554,5005,9,0,,,
724,11853550,4996,35,0,,,
725,11858553,5003,9,0,,,
726,11863547,4994,9,0,,,
727,11868554,5007,9,0,,,
728,11873548,4994,8,0,,,
729,11878547,4999,9,0,,,
730,11883546,4999,8,0,,,
731,11888551,5005,9,0,,,
732,11893549,4998,25,0,,,
733,11898546,4997,9,0,,,
734,11903549,5003,8,0,,,
735,11908547,4998,9,0,,,
736,11913550,5003,8,0,,,
737,11918547,4997,9,0,,,
738,11923548,5001,9,0,,,
739,11928547,4999,9,0,,,
740,11933550,5003,8,0,,,
741,11938554,5004,9,0,,,
742,11943554,5000,8,0,,,
743,11948547,4993,9,0,,,
744,11953579,5032,9,0,,,
745,11958555,4976,9,0,,,
746,11963550,4995,9,0,,,
747,11968546,4996,9,0,,,
748,11973547,5001,9,0,,,
749,11978549,5002,9,0,,,
750,11983548,4999,9,0,,,
751,11988546,4998,9,0,,,
752,11993551,5005,8,0,,,
753,11998548,4997,9,0,,,
754,12003554,5006,9,0,,,
755,12008553,4999,8,0,,,
756,12013554,5001,9,0,,,
757,12018552,4998,9,0,,,
758,12023553,5001,8,0,,,
759,12028550,4997,9,0,,,
760,12033548,4998,9,0,,,
761,12038554,5006,9,0,,,
762,12043552,4998,9,0,,,
763,12048552,5000,9,0,,,
764,12053548,4996,8,0,,,
765,12058553,5005,36,0,,,
766,12063551,4998,8,0,,,
767,12068549,4998,9,0,,,
768,12073553,5004,8,0,,,
769,12078553,5000,9,0,,,
770,12083550,4997,9,0,,,
771,12088553,5003,9,0,,,
772,12093553,5000,9,0,,,
773,12098552,4999,9,0,,,
774,12103550,4998,8,0,,,
775,12108549,4999,9,0,,,
776,12113547,4998,9,0,,,
777,12118549,5002,9,0,,,
778,12123548,4999,9,0,,,
779,12128553,5005,9,0,,,
780,12133551,4998,8,0,,,
781,12138549,4998,9,0,,,
782,12143553,5004,9,0,,,
783,12148552,4999,9,0,,,
784,12153550,4998,9,0,,,
785,12158567,5017,9,0,,,
786,12163549,4982,9,0,,,
787,12168552,5003,8,0,,,
788,12173553,5001,9,0,,,
789,12178553,5000,9,0,,,
790,12183550,4997,9,0,,,
791,12188554,5004,9,0,,,
792,12193549,4995,9,0,,,
793,12198547,4998,9,0,,,
794,12203549,5002,9,0,,,
795,12208548,4999,9,0,,,
796,12213550,5002,9,0,,,
797,12218553,5003,9,0,,,
798,12223554,5001,9,0,,,
799,12228546,4992,9,0,,,
800,12233548,5002,8,0,,,
801,12238552,5004,9,0,,,
802,12243549,4997,8,0,,,
803,12248548,4999,9,0,,,
804,12253548,5000,8,0,,,
805,12258553,5005,9,0,,,
806,12263564,5011,8,0,,,
807,12268552,4988,9,0,,,
808,12273549,4997,9,0,,,
809,12278554,5005,9,0,,,
810,12283550,4996,8,0,,,
811,12288550,5000,9,0,,,
812,12293548,4998,9,0,,,
813,12298552,5004,9,0,,,
814,12303550,4998,9,0,,,
815,12308550,5000,9,0,,,
816,12313548,4998,9,0,,,
817,12318546,4998,9,0,,,
818,12323552,5006,8,0,,,
819,12328549,4997,9,0,,,
820,12333548,4999,9,0,,,
821,12338554,5006,8,0,,,
822,12343547,4993,8,0,,,
823,12348551,5004,8,0,,,
824,12353550,4999,9,0,,,
825,12358553,5003,9,0,,,
826,12363551,4998,9,0,,,
827,12368546,4995,9,0,,,
828,12373555,5009,9,0,,,
829,12378546,4991,9,0,,,
830,12383551,5005,9,0,,,
831,12388551,5000,9,0,,,
832,12393546,4995,9,0,,,
833,12398550,5004,8,0,,,
834,12403547,4997,9,0,,,
835,12408546,4999,9,0,,,
836,12413552,5006,9,0,,,
837,12418552,5000,9,0,,,
838,12423555,5003,9,0,,,
839,12428550,4995,8,0,,,
840,12433551,5001,8,0,,,
841,12438546,4995,9,0,,,
842,12443552,5006,9,0,,,
843,12448550,4998,9,0,,,
844,12453546,4996,9,0,,,
845,12458551,5005,9,0,,,
846,12463554,5003,9,0,,,
847,12468554,5000,36,0,,,
848,12473546,4992,9,0,,,
849,12478551,5005,9,0,,,
850,12483546,4995,8,0,,,
851,12488547,5001,8,0,,,
852,12493553,5006,9,0,,,
853,12498550,4997,9,0,,,
854,12503548,4998,9,0,,,
855,12508548,5000,9,0,,,
856,12513547,4999,9,0,,,
857,12518553,5006,9,0,,,
858,12523548,4995,8,0,,,
859,12528547,4999,9,0,,,
860,12533546,4999,9,0,,,
861,12538552,5006,8,0,,,
862,12543554,5002,9,0,,,
863,12548550,4996,8,0,,,
864,12553548,4998,8,0,,,
865,12558547,4999,9,0,,,
866,12563551,5004,9,0,,,
867,12568552,5001,36,0,,,
868,12573546,4994,9,0,,,
869,12578546,5000,9,0,,,
870,12583547,5001,8,0,,,
871,12588552,5005,9,0,,,
872,12593547,4995,9,0,,,
873,12598549,5002,8,0,,,
874,12603555,5006,9,0,,,
875,12608546,4991,9,0,,,
876,12613547,5001,9,0,,,
