t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
29206252,103,-0.0425,0.0044,1.0205,-0.0610,0.2441,-0.3052,6.0000,37.0000,65.0000,0,1,491,1078,397,0
29211251,104,-0.0420,0.0039,1.0205,0.0000,0.3052,-0.3052,6.0000,37.0000,65.0000,0,1,508,1138,396,0
29216254,105,-0.0425,0.0039,1.0200,0.0000,0.3052,-0.3052,6.0000,37.0000,65.0000,0,1,485,1103,396,0
29221257,106,-0.0425,0.0044,1.0195,0.0610,0.3052,-0.1831,6.0000,37.0000,65.0000,0,1,496,1101,396,0
29226252,107,-0.0425,0.0054,1.0200,-0.0610,0.3052,-0.1221,6.0000,37.0000,65.0000,0,1,503,1151,397,0
29231251,108,-0.0430,0.0054,1.0210,0.0610,0.1831,-0.3052,6.0000,37.0000,65.0000,0,1,477,1144,397,0
29236253,109,-0.0425,0.0044,1.0205,0.0610,0.1221,-0.2441,6.0000,37.0000,65.0000,0,1,487,1147,396,0
29241251,110,-0.0420,0.0039,1.0190,-0.0610,0.3052,-0.2441,6.0000,41.0000,65.0000,1,1,490,1149,395,0
29246255,111,-0.0425,0.0044,1.0186,-0.1221,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,469,1145,792,0
29251251,112,-0.0435,0.0034,1.0205,-0.0610,0.3052,-0.2441,6.0000,41.0000,65.0000,0,1,480,1156,396,0
29256250,113,-0.0435,0.0034,1.0210,0.0000,0.3052,-0.1831,6.0000,41.0000,65.0000,0,1,463,1154,439,0
29261253,114,-0.0420,0.0039,1.0205,0.0000,0.3662,-0.2441,6.0000,41.0000,65.0000,0,1,463,1107,423,0
29266251,115,-0.0410,0.0049,1.0210,0.0000,0.2441,-0.3052,6.0000,41.0000,65.0000,0,1,463,1115,439,0
29271250,116,-0.0415,0.0054,1.0200,0.0000,0.2441,-0.3052,6.0000,41.0000,65.0000,0,1,462,1002,410,0
29276252,117,-0.0425,0.0059,1.0190,-0.0610,0.3052,-0.3052,6.0000,41.0000,65.0000,0,1,463,1004,438,0
29281255,118,-0.0435,0.0059,1.0200,0.0000,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,462,1106,415,0
29286256,119,-0.0439,0.0054,1.0220,-0.0610,0.3052,-0.1221,6.0000,41.0000,65.0000,0,1,462,1079,413,0
29291274,120,-0.0439,0.0034,1.0210,0.0610,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,463,1177,396,0
29296249,121,-0.0430,0.0034,1.0195,0.0610,0.2441,-0.3052,6.0000,41.0000,65.0000,0,1,463,1187,408,0
29301249,122,-0.0430,0.0039,1.0195,0.0000,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,465,1166,396,0
29306255,123,-0.0425,0.0044,1.0200,0.0000,0.1831,-0.1831,6.0000,41.0000,65.0000,0,1,490,1134,397,0
29311254,124,-0.0425,0.0039,1.0200,0.0000,0.2441,-0.3052,6.0000,41.0000,65.0000,0,1,490,1084,397,0
29316252,125,-0.0430,0.0039,1.0195,0.0610,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,480,1110,397,0
29321256,126,-0.0430,0.0029,1.0200,-0.0610,0.2441,-0.1831,6.0000,41.0000,65.0000,0,1,492,1162,397,0
29326251,127,-0.0430,0.0024,1.0205,-0.1221,0.2441,-0.3052,6.0000,41.0000,65.0000,0,1,475,1159,398,0
29331256,128,-0.0430,0.0029,1.0200,-0.0610,0.3662,-0.3052,6.0000,41.0000,65.0000,0,1,490,1155,397,0
29336252,129,-0.0420,0.0039,1.0200,-0.0610,0.1831,-0.1221,6.0000,41.0000,65.0000,0,1,474,1153,397,0
29341250,130,-0.0420,0.0044,1.0200,-0.0610,0.0610,-0.1831,6.0000,41.0000,65.0000,0,1,476,1154,396,0
29346251,131,-0.0420,0.0044,1.0205,0.0000,0.1831,-0.1831,4.0000,40.0000,65.0000,1,1,508,1153,395,0
29351249,132,-0.0425,0.0049,1.0215,0.1221,0.3052,-0.1831,4.0000,40.0000,65.0000,0,1,463,1100,792,0
29356248,133,-0.0435,0.0049,1.0215,0.0000,0.2441,-0.1831,4.0000,40.0000,65.0000,0,1,480,1135,413,0
29361248,134,-0.0430,0.0039,1.0215,0.0610,0.1831,-0.1831,4.0000,40.0000,65.0000,0,1,463,1096,412,0
29366250,135,-0.0425,0.0039,1.0205,0.0000,0.3662,-0.2441,4.0000,40.0000,65.0000,0,1,462,1143,424,0
29371256,136,-0.0435,0.0039,1.0195,0.0000,0.3052,-0.1831,4.0000,40.0000,65.0000,0,1,462,1100,414,0
29376253,137,-0.0430,0.0029,1.0205,-0.0610,0.2441,-0.2441,4.0000,40.0000,65.0000,0,1,463,992,417,0
29381255,138,-0.0410,0.0015,1.0210,-0.1221,0.1831,-0.2441,4.0000,40.0000,65.0000,0,1,462,1041,439,0
29386253,139,-0.0396,0.0010,1.0210,0.0000,0.3052,-0.1831,4.0000,40.0000,65.0000,0,1,463,1101,424,0
29391251,140,-0.0405,0.0024,1.0195,0.1221,0.4272,-0.1221,4.0000,40.0000,65.0000,0,1,463,1141,412,0
29396257,141,-0.0430,0.0044,1.0181,0.0610,0.3052,-0.1831,4.0000,40.0000,65.0000,0,1,463,1199,408,0
29401250,142,-0.0439,0.0049,1.0186,0.0000,0.1831,-0.2441,4.0000,40.0000,65.0000,0,1,489,1146,414,0
29406248,143,-0.0425,0.0039,1.0205,-0.1221,0.1831,-0.2441,4.0000,40.0000,65.0000,0,1,475,1090,397,0
29411256,144,-0.0410,0.0034,1.0210,-0.0610,0.2441,-0.1831,4.0000,40.0000,65.0000,0,1,485,1163,397,0
29416255,145,-0.0410,0.0039,1.0200,0.0000,0.3052,-0.2441,4.0000,40.0000,65.0000,0,1,464,1146,397,0
29421248,146,-0.0420,0.0034,1.0190,0.0000,0.1831,-0.1831,4.0000,40.0000,65.0000,0,1,500,1097,396,0
29426251,147,-0.0425,0.0020,1.0190,0.0000,0.1831,-0.1831,4.0000,40.0000,65.0000,0,1,475,1103,396,0
29431253,148,-0.0430,0.0020,1.0195,0.0000,0.2441,-0.1831,4.0000,40.0000,65.0000,0,1,486,1099,396,0
29436253,149,-0.0430,0.0029,1.0200,-0.0610,0.1831,-0.1831,4.0000,40.0000,65.0000,0,1,475,1100,397,0
29441251,150,-0.0430,0.0039,1.0215,0.0610,0.2441,-0.3052,4.0000,40.0000,65.0000,0,1,503,1145,397,0
29446249,151,-0.0425,0.0049,1.0220,0.1221,0.2441,-0.1831,5.0000,40.0000,62.0000,1,1,491,1140,395,0
29451254,152,-0.0420,0.0054,1.0220,0.0000,0.1831,-0.1831,5.0000,40.0000,62.0000,0,1,464,1152,765,0
29456253,153,-0.0425,0.0054,1.0220,0.1221,0.2441,-0.1831,5.0000,40.0000,62.0000,0,1,480,1107,411,0
29461249,154,-0.0425,0.0054,1.0210,0.0000,0.3662,-0.2441,5.0000,40.0000,62.0000,0,1,463,1151,438,0
29466248,155,-0.0435,0.0054,1.0205,0.0000,0.4272,-0.1831,5.0000,40.0000,62.0000,0,1,463,1106,429,0
